Batch, Algorithm, Group, Mean, Samples, Variance
145, bandit, control, 0.406817, 9535, 0.241342
145, ab, test, 0.195444, 8780, 0.157264
145, bandit, test, 0.199013, 5065, 0.159438
146, ab, control, 0.380709, 5868, 0.235810
146, bandit, control, 0.405915, 9603, 0.241173
146, ab, test, 0.195086, 8832, 0.157045
146, bandit, test, 0.198941, 5097, 0.159394
147, ab, control, 0.381307, 5906, 0.235952
147, bandit, control, 0.405833, 9669, 0.241158
147, ab, test, 0.195750, 8894, 0.157450
147, bandit, test, 0.198597, 5131, 0.159187
148, ab, control, 0.381265, 5946, 0.235942
148, bandit, control, 0.405653, 9730, 0.241123
148, ab, test, 0.195555, 8954, 0.157331
148, bandit, test, 0.199033, 5170, 0.159450
149, ab, control, 0.381247, 5983, 0.235937
149, bandit, control, 0.405309, 9795, 0.241058
149, ab, test, 0.195298, 9017, 0.157174
149, bandit, test, 0.199232, 5205, 0.159569
150, ab, control, 0.382050, 6028, 0.236127
150, bandit, control, 0.405778, 9865, 0.241147
150, ab, test, 0.195106, 9072, 0.157057
150, bandit, test, 0.199427, 5235, 0.159686
151, ab, control, 0.382232, 6067, 0.236170
151, bandit, control, 0.405335, 9935, 0.241063
151, ab, test, 0.195993, 9133, 0.157597
151, bandit, test, 0.199050, 5265, 0.159460
152, ab, control, 0.382690, 6112, 0.236277
152, bandit, control, 0.404940, 9999, 0.240988
152, ab, test, 0.196125, 9188, 0.157677
152, bandit, test, 0.198830, 5301, 0.159327
153, ab, control, 0.383252, 6150, 0.236408
153, bandit, control, 0.404054, 10063, 0.240818
153, ab, test, 0.196000, 9250, 0.157601
153, bandit, test, 0.198988, 5337, 0.159422
154, ab, control, 0.383075, 6192, 0.236367
154, bandit, control, 0.403928, 10133, 0.240794
154, ab, test, 0.195746, 9308, 0.157446
154, bandit, test, 0.198994, 5367, 0.159425
155, ab, control, 0.382405, 6229, 0.236209
155, bandit, control, 0.404552, 10194, 0.240913
155, ab, test, 0.195817, 9371, 0.157489
155, bandit, test, 0.199223, 5406, 0.159563
156, ab, control, 0.382677, 6269, 0.236273
156, bandit, control, 0.404367, 10258, 0.240878
156, ab, test, 0.196480, 9431, 0.157892
156, bandit, test, 0.199008, 5442, 0.159433
157, ab, control, 0.382567, 6310, 0.236247
157, bandit, control, 0.403991, 10322, 0.240806
157, ab, test, 0.196628, 9490, 0.157982
157, bandit, test, 0.199343, 5478, 0.159634
158, ab, control, 0.382566, 6344, 0.236247
158, bandit, control, 0.403891, 10384, 0.240786
158, ab, test, 0.197258, 9556, 0.158364
158, bandit, test, 0.199057, 5516, 0.159462
159, ab, control, 0.382905, 6388, 0.236326
159, bandit, control, 0.404154, 10449, 0.240836
159, ab, test, 0.197045, 9612, 0.158235
159, bandit, test, 0.198343, 5551, 0.159031
160, ab, control, 0.383551, 6432, 0.236476
160, bandit, control, 0.403861, 10516, 0.240780
160, ab, test, 0.197352, 9668, 0.158421
160, bandit, test, 0.198066, 5584, 0.158864
161, ab, control, 0.384009, 6466, 0.236583
161, bandit, control, 0.404420, 10588, 0.240887
161, ab, test, 0.197349, 9734, 0.158419
161, bandit, test, 0.198503, 5612, 0.159128
162, ab, control, 0.384320, 6505, 0.236654
162, bandit, control, 0.405372, 10647, 0.241068
162, ab, test, 0.197448, 9795, 0.158478
162, bandit, test, 0.198656, 5653, 0.159220
163, ab, control, 0.383804, 6545, 0.236535
163, bandit, control, 0.405340, 10712, 0.241062
163, ab, test, 0.197971, 9855, 0.158794
163, bandit, test, 0.198664, 5688, 0.159225
164, ab, control, 0.383926, 6582, 0.236563
164, bandit, control, 0.404643, 10770, 0.240929
164, ab, test, 0.198326, 9918, 0.159009
164, bandit, test, 0.198778, 5730, 0.159293
165, ab, control, 0.384267, 6623, 0.236642
165, bandit, control, 0.404854, 10836, 0.240970
165, ab, test, 0.197955, 9977, 0.158785
165, bandit, test, 0.199167, 5764, 0.159527
166, ab, control, 0.384719, 6662, 0.236746
166, bandit, control, 0.404236, 10907, 0.240851
166, ab, test, 0.197848, 10038, 0.158720
166, bandit, test, 0.199551, 5793, 0.159758
167, ab, control, 0.385051, 6703, 0.236822
167, bandit, control, 0.404100, 10975, 0.240825
167, ab, test, 0.197980, 10097, 0.158799
167, bandit, test, 0.198798, 5825, 0.159305
168, ab, control, 0.385231, 6744, 0.236863
168, bandit, control, 0.403822, 11042, 0.240772
168, ab, test, 0.198405, 10156, 0.159056
168, bandit, test, 0.198703, 5858, 0.159247
169, ab, control, 0.384785, 6783, 0.236761
169, bandit, control, 0.403837, 11101, 0.240774
169, ab, test, 0.198199, 10217, 0.158932
169, bandit, test, 0.198339, 5899, 0.159027
170, ab, control, 0.384232, 6824, 0.236632
170, bandit, control, 0.403224, 11165, 0.240656
170, ab, test, 0.197840, 10276, 0.158715
170, bandit, test, 0.199158, 5935, 0.159521
171, ab, control, 0.384033, 6864, 0.236586
171, bandit, control, 0.402885, 11229, 0.240590
171, ab, test, 0.198336, 10336, 0.159014
171, bandit, test, 0.199129, 5971, 0.159503
172, ab, control, 0.384214, 6905, 0.236628
172, bandit, control, 0.402816, 11293, 0.240577
172, ab, test, 0.198846, 10395, 0.159321
172, bandit, test, 0.199767, 6007, 0.159887
173, ab, control, 0.384482, 6934, 0.236690
173, bandit, control, 0.402663, 11342, 0.240547
173, ab, test, 0.198643, 10466, 0.159199
173, bandit, test, 0.199571, 6058, 0.159769
174, ab, control, 0.385686, 6972, 0.236966
174, bandit, control, 0.402350, 11403, 0.240486
174, ab, test, 0.198613, 10528, 0.159181
174, bandit, test, 0.199442, 6097, 0.159691
175, ab, control, 0.385406, 7003, 0.236902
175, bandit, control, 0.402773, 11468, 0.240568
175, ab, test, 0.197792, 10597, 0.158685
175, bandit, test, 0.200261, 6132, 0.160183
176, ab, control, 0.385467, 7046, 0.236916
176, bandit, control, 0.402532, 11532, 0.240521
176, ab, test, 0.197578, 10654, 0.158556
176, bandit, test, 0.200227, 6168, 0.160162
177, ab, control, 0.384746, 7080, 0.236750
177, bandit, control, 0.403191, 11595, 0.240649
177, ab, test, 0.197481, 10720, 0.158497
177, bandit, test, 0.200000, 6205, 0.160026
178, ab, control, 0.384886, 7119, 0.236782
178, bandit, control, 0.404049, 11657, 0.240814
178, ab, test, 0.197848, 10781, 0.158719
178, bandit, test, 0.200384, 6243, 0.160256
179, ab, control, 0.385217, 7157, 0.236858
179, bandit, control, 0.403825, 11713, 0.240771
179, ab, test, 0.197547, 10843, 0.158537
179, bandit, test, 0.200254, 6287, 0.160178
180, ab, control, 0.385716, 7197, 0.236972
180, bandit, control, 0.404329, 11780, 0.240868
180, ab, test, 0.197744, 10903, 0.158656
180, bandit, test, 0.200475, 6320, 0.160310
181, ab, control, 0.385317, 7233, 0.236881
181, bandit, control, 0.404593, 11844, 0.240918
181, ab, test, 0.197502, 10967, 0.158509
181, bandit, test, 0.200755, 6356, 0.160478
182, ab, control, 0.385208, 7274, 0.236855
182, bandit, control, 0.404148, 11909, 0.240833
182, ab, test, 0.196898, 11026, 0.158144
182, bandit, test, 0.200438, 6391, 0.160288
183, ab, control, 0.384773, 7316, 0.236755
183, bandit, control, 0.404209, 11974, 0.240844
183, ab, test, 0.197221, 11084, 0.158339
183, bandit, test, 0.199969, 6426, 0.160006
184, ab, control, 0.385075, 7357, 0.236825
184, bandit, control, 0.404519, 12039, 0.240903
184, ab, test, 0.197164, 11143, 0.158305
184, bandit, test, 0.199659, 6461, 0.159820
185, ab, control, 0.385571, 7402, 0.236938
185, bandit, control, 0.404180, 12106, 0.240838
185, ab, test, 0.197535, 11198, 0.158529
185, bandit, test, 0.199877, 6494, 0.159951
186, ab, control, 0.386165, 7445, 0.237073
186, bandit, control, 0.404766, 12170, 0.240950
186, ab, test, 0.197601, 11255, 0.158569
186, bandit, test, 0.200459, 6530, 0.160300
187, ab, control, 0.386713, 7481, 0.237198
187, bandit, control, 0.404497, 12230, 0.240899
187, ab, test, 0.197809, 11319, 0.158695
187, bandit, test, 0.200761, 6570, 0.160480
188, ab, control, 0.386315, 7512, 0.237107
188, bandit, control, 0.404489, 12297, 0.240897
188, ab, test, 0.197576, 11388, 0.158554
188, bandit, test, 0.200969, 6603, 0.160605
189, ab, control, 0.386755, 7550, 0.237207
189, bandit, control, 0.404727, 12354, 0.240943
189, ab, test, 0.197293, 11450, 0.158382
189, bandit, test, 0.200421, 6646, 0.160277
190, ab, control, 0.387271, 7589, 0.237323
190, bandit, control, 0.404317, 12416, 0.240864
190, ab, test, 0.197637, 11511, 0.158590
190, bandit, test, 0.200928, 6684, 0.160580
191, ab, control, 0.387317, 7632, 0.237334
191, bandit, control, 0.404421, 12487, 0.240884
191, ab, test, 0.197614, 11568, 0.158576
191, bandit, test, 0.200953, 6713, 0.160595
192, ab, control, 0.387151, 7674, 0.237296
192, bandit, control, 0.404589, 12551, 0.240916
192, ab, test, 0.197574, 11626, 0.158552
192, bandit, test, 0.201215, 6749, 0.160751
193, ab, control, 0.387256, 7721, 0.237319
193, bandit, control, 0.404235, 12609, 0.240848
193, ab, test, 0.197363, 11679, 0.158424
193, bandit, test, 0.201149, 6791, 0.160711
194, ab, control, 0.387184, 7756, 0.237303
194, bandit, control, 0.404546, 12671, 0.240908
194, ab, test, 0.197122, 11744, 0.158278
194, bandit, test, 0.200761, 6829, 0.160480
195, ab, control, 0.386923, 7800, 0.237244
195, bandit, control, 0.404222, 12743, 0.240845
195, ab, test, 0.197203, 11800, 0.158328
195, bandit, test, 0.200379, 6857, 0.160251
196, ab, control, 0.387027, 7847, 0.237267
196, bandit, control, 0.404041, 12818, 0.240811
196, ab, test, 0.197250, 11853, 0.158356
196, bandit, test, 0.200232, 6882, 0.160163
197, ab, control, 0.386692, 7890, 0.237191
197, bandit, control, 0.404269, 12885, 0.240854
197, ab, test, 0.197481, 11910, 0.158496
197, bandit, test, 0.199855, 6915, 0.159936
198, ab, control, 0.386409, 7932, 0.237127
198, bandit, control, 0.404510, 12949, 0.240900
198, ab, test, 0.197443, 11968, 0.158473
198, bandit, test, 0.199252, 6951, 0.159574
199, ab, control, 0.386749, 7969, 0.237204
199, bandit, control, 0.404919, 13010, 0.240978
199, ab, test, 0.197739, 12031, 0.158652
199, bandit, test, 0.199285, 6990, 0.159593
200, ab, control, 0.386517, 8010, 0.237151
200, bandit, control, 0.404436, 13075, 0.240886
200, ab, test, 0.197601, 12090, 0.158568
200, bandit, test, 0.199146, 7025, 0.159510
201, ab, control, 0.386392, 8054, 0.237123
201, bandit, control, 0.404352, 13142, 0.240870
201, ab, test, 0.197678, 12146, 0.158615
201, bandit, test, 0.199490, 7058, 0.159716
202, ab, control, 0.386487, 8096, 0.237144
202, bandit, control, 0.404212, 13201, 0.240843
202, ab, test, 0.197394, 12204, 0.158443
202, bandit, test, 0.199606, 7099, 0.159786
203, ab, control, 0.386241, 8140, 0.237088
203, bandit, control, 0.403740, 13261, 0.240752
203, ab, test, 0.197064, 12260, 0.158242
203, bandit, test, 0.199608, 7139, 0.159787
204, ab, control, 0.386769, 8178, 0.237208
204, bandit, control, 0.403722, 13326, 0.240749
204, ab, test, 0.197208, 12322, 0.158330
204, bandit, test, 0.199749, 7174, 0.159872
205, ab, control, 0.386806, 8216, 0.237216
205, bandit, control, 0.403631, 13386, 0.240731
205, ab, test, 0.197513, 12384, 0.158514
205, bandit, test, 0.199889, 7214, 0.159956
206, ab, control, 0.387112, 8256, 0.237285
206, bandit, control, 0.403643, 13450, 0.240733
206, ab, test, 0.197445, 12444, 0.158473
206, bandit, test, 0.199862, 7250, 0.159939
207, ab, control, 0.388139, 8296, 0.237516
207, bandit, control, 0.403849, 13510, 0.240773
207, ab, test, 0.197057, 12504, 0.158238
207, bandit, test, 0.199177, 7290, 0.159527
208, ab, control, 0.388242, 8335, 0.237539
208, bandit, control, 0.403553, 13567, 0.240716
208, ab, test, 0.197612, 12565, 0.158574
208, bandit, test, 0.198964, 7333, 0.159399
209, ab, control, 0.388225, 8374, 0.237535
209, bandit, control, 0.403272, 13631, 0.240661
209, ab, test, 0.197371, 12626, 0.158428
209, bandit, test, 0.199484, 7369, 0.159712
210, ab, control, 0.388711, 8415, 0.237643
210, bandit, control, 0.403577, 13700, 0.240720
210, ab, test, 0.197241, 12685, 0.158349
210, bandit, test, 0.200270, 7400, 0.160184
211, ab, control, 0.389079, 8461, 0.237725
211, bandit, control, 0.403370, 13769, 0.240680
211, ab, test, 0.197504, 12739, 0.158508
211, bandit, test, 0.200377, 7431, 0.160248
212, ab, control, 0.389647, 8500, 0.237850
212, bandit, control, 0.403528, 13833, 0.240711
212, ab, test, 0.197266, 12800, 0.158364
212, bandit, test, 0.200080, 7467, 0.160070
213, ab, control, 0.390098, 8544, 0.237949
213, bandit, control, 0.403958, 13895, 0.240793
213, ab, test, 0.197651, 12856, 0.158597
213, bandit, test, 0.200000, 7505, 0.160021
214, ab, control, 0.390610, 8584, 0.238062
214, bandit, control, 0.403810, 13962, 0.240765
214, ab, test, 0.196965, 12916, 0.158182
214, bandit, test, 0.200451, 7538, 0.160292
215, ab, control, 0.390507, 8617, 0.238039
215, bandit, control, 0.404050, 14023, 0.240811
215, ab, test, 0.196488, 12983, 0.157892
215, bandit, test, 0.200871, 7577, 0.160543
216, ab, control, 0.390978, 8668, 0.238142
216, bandit, control, 0.403845, 14097, 0.240771
216, ab, test, 0.196516, 13032, 0.157910
216, bandit, test, 0.200579, 7603, 0.160368
217, ab, control, 0.390860, 8709, 0.238116
217, bandit, control, 0.403390, 14160, 0.240683
217, ab, test, 0.196624, 13091, 0.157975
217, bandit, test, 0.201309, 7640, 0.160805
218, ab, control, 0.391558, 8742, 0.238268
218, bandit, control, 0.403319, 14222, 0.240670
218, ab, test, 0.196990, 13158, 0.158197
218, bandit, test, 0.201355, 7678, 0.160832
219, ab, control, 0.391478, 8777, 0.238250
219, bandit, control, 0.403852, 14280, 0.240772
219, ab, test, 0.197686, 13223, 0.158618
219, bandit, test, 0.201166, 7720, 0.160719
220, ab, control, 0.391861, 8822, 0.238333
220, bandit, control, 0.403750, 14348, 0.240753
220, ab, test, 0.197469, 13278, 0.158487
220, bandit, test, 0.201109, 7752, 0.160685
221, ab, control, 0.391608, 8866, 0.238278
221, bandit, control, 0.403761, 14412, 0.240755
221, ab, test, 0.196940, 13334, 0.158167
221, bandit, test, 0.201207, 7788, 0.160743
222, ab, control, 0.392183, 8904, 0.238402
222, bandit, control, 0.403952, 14472, 0.240792
222, ab, test, 0.196999, 13396, 0.158202
222, bandit, test, 0.201073, 7828, 0.160663
223, ab, control, 0.392757, 8947, 0.238526
223, bandit, control, 0.403768, 14543, 0.240756
223, ab, test, 0.196610, 13453, 0.157967
223, bandit, test, 0.201095, 7857, 0.160676
224, ab, control, 0.393318, 8980, 0.238646
224, bandit, control, 0.404123, 14602, 0.240824
224, ab, test, 0.196598, 13520, 0.157959
224, bandit, test, 0.201190, 7898, 0.160733
225, ab, control, 0.393459, 9020, 0.238675
225, bandit, control, 0.404051, 14664, 0.240810
225, ab, test, 0.196244, 13580, 0.157744
225, bandit, test, 0.201361, 7936, 0.160835
226, ab, control, 0.393133, 9058, 0.238606
226, bandit, control, 0.404374, 14724, 0.240872
226, ab, test, 0.196232, 13642, 0.157737
226, bandit, test, 0.201354, 7976, 0.160831
227, ab, control, 0.393450, 9099, 0.238673
227, bandit, control, 0.404166, 14786, 0.240832
227, ab, test, 0.196117, 13701, 0.157667
227, bandit, test, 0.201522, 8014, 0.160931
228, ab, control, 0.393631, 9138, 0.238712
228, bandit, control, 0.404377, 14850, 0.240872
228, ab, test, 0.196192, 13762, 0.157712
228, bandit, test, 0.201615, 8050, 0.160986
229, ab, control, 0.394223, 9175, 0.238837
229, bandit, control, 0.404227, 14905, 0.240844
229, ab, test, 0.196528, 13825, 0.157916
229, bandit, test, 0.201235, 8095, 0.160760
230, ab, control, 0.394660, 9213, 0.238929
230, bandit, control, 0.404452, 14961, 0.240887
230, ab, test, 0.196659, 13887, 0.157995
230, bandit, test, 0.201376, 8139, 0.160844
231, ab, control, 0.394549, 9246, 0.238906
231, bandit, control, 0.403929, 15015, 0.240786
231, ab, test, 0.196861, 13954, 0.158118
231, bandit, test, 0.201588, 8185, 0.160970
232, ab, control, 0.394488, 9288, 0.238893
232, bandit, control, 0.403714, 15080, 0.240745
232, ab, test, 0.197045, 14012, 0.158230
232, bandit, test, 0.201582, 8220, 0.160966
233, ab, control, 0.394277, 9331, 0.238848
233, bandit, control, 0.403948, 15148, 0.240790
233, ab, test, 0.197171, 14069, 0.158306
233, bandit, test, 0.201769, 8252, 0.161078
234, ab, control, 0.394731, 9376, 0.238944
234, bandit, control, 0.404036, 15214, 0.240807
234, ab, test, 0.197324, 14124, 0.158398
234, bandit, test, 0.202631, 8286, 0.161591
235, ab, control, 0.395028, 9412, 0.239006
235, bandit, control, 0.404110, 15278, 0.240821
235, ab, test, 0.197138, 14188, 0.158286
235, bandit, test, 0.202596, 8322, 0.161570
236, ab, control, 0.394882, 9456, 0.238975
236, bandit, control, 0.404300, 15350, 0.240857
236, ab, test, 0.196785, 14244, 0.158072
236, bandit, test, 0.202874, 8350, 0.161736
237, ab, control, 0.395329, 9506, 0.239069
237, bandit, control, 0.404501, 15419, 0.240896
237, ab, test, 0.196936, 14294, 0.158163
237, bandit, test, 0.203078, 8381, 0.161857
238, ab, control, 0.395101, 9552, 0.239021
238, bandit, control, 0.404404, 15487, 0.240877
238, ab, test, 0.197031, 14348, 0.158221
238, bandit, test, 0.203257, 8413, 0.161963
239, ab, control, 0.394847, 9586, 0.238968
239, bandit, control, 0.404567, 15545, 0.240908
239, ab, test, 0.197031, 14414, 0.158221
239, bandit, test, 0.203430, 8455, 0.162065
240, ab, control, 0.394827, 9627, 0.238963
240, bandit, control, 0.404715, 15611, 0.240936
240, ab, test, 0.197057, 14473, 0.158236
240, bandit, test, 0.203322, 8489, 0.162001
241, ab, control, 0.394723, 9665, 0.238942
241, bandit, control, 0.404554, 15679, 0.240905
241, ab, test, 0.196904, 14535, 0.158144
241, bandit, test, 0.203497, 8521, 0.162105
242, ab, control, 0.394582, 9709, 0.238912
242, bandit, control, 0.404382, 15745, 0.240873
242, ab, test, 0.197382, 14591, 0.158433
242, bandit, test, 0.203624, 8555, 0.162180
243, ab, control, 0.394499, 9744, 0.238894
243, bandit, control, 0.404556, 15805, 0.240906
243, ab, test, 0.197189, 14656, 0.158316
243, bandit, test, 0.203490, 8595, 0.162101
244, ab, control, 0.394212, 9779, 0.238833
244, bandit, control, 0.404375, 15864, 0.240871
244, ab, test, 0.197269, 14721, 0.158365
244, bandit, test, 0.203335, 8636, 0.162009
245, ab, control, 0.394399, 9820, 0.238873
245, bandit, control, 0.404382, 15928, 0.240872
245, ab, test, 0.197700, 14780, 0.158625
245, bandit, test, 0.204451, 8672, 0.162670
246, ab, control, 0.394766, 9859, 0.238950
246, bandit, control, 0.404126, 15995, 0.240823
246, ab, test, 0.198032, 14841, 0.158826
246, bandit, test, 0.204480, 8705, 0.162687
247, ab, control, 0.395678, 9902, 0.239141
247, bandit, control, 0.403947, 16064, 0.240789
247, ab, test, 0.198013, 14898, 0.158815
247, bandit, test, 0.204327, 8736, 0.162596
248, ab, control, 0.395714, 9939, 0.239148
248, bandit, control, 0.403559, 16129, 0.240714
248, ab, test, 0.198048, 14961, 0.158836
248, bandit, test, 0.203854, 8771, 0.162316
249, ab, control, 0.396036, 9989, 0.239215
249, bandit, control, 0.403580, 16200, 0.240718
249, ab, test, 0.197922, 15011, 0.158759
249, bandit, test, 0.203750, 8800, 0.162254
250, ab, control, 0.395892, 10028, 0.239185
250, bandit, control, 0.403862, 16263, 0.240772
250, ab, test, 0.197718, 15072, 0.158636
250, bandit, test, 0.203463, 8837, 0.162084
251, ab, control, 0.396086, 10066, 0.239226
251, bandit, control, 0.403980, 16330, 0.240795
251, ab, test, 0.198097, 15134, 0.158865
251, bandit, test, 0.203269, 8870, 0.161969
252, ab, control, 0.395784, 10104, 0.239163
252, bandit, control, 0.404088, 16390, 0.240816
252, ab, test, 0.197684, 15196, 0.158615
252, bandit, test, 0.203816, 8910, 0.162293
253, ab, control, 0.395486, 10147, 0.239100
253, bandit, control, 0.404339, 16454, 0.240864
253, ab, test, 0.197863, 15253, 0.158723
253, bandit, test, 0.203778, 8946, 0.162271
254, ab, control, 0.395780, 10190, 0.239162
254, bandit, control, 0.404505, 16514, 0.240895
254, ab, test, 0.197779, 15310, 0.158673
254, bandit, test, 0.203539, 8986, 0.162129
255, ab, control, 0.395955, 10236, 0.239198
255, bandit, control, 0.404476, 16577, 0.240890
255, ab, test, 0.197865, 15364, 0.158725
255, bandit, test, 0.203369, 9023, 0.162028
256, ab, control, 0.396166, 10276, 0.239242
256, bandit, control, 0.404483, 16641, 0.240891
256, ab, test, 0.198133, 15424, 0.158886
256, bandit, test, 0.203223, 9059, 0.161941
257, ab, control, 0.397248, 10321, 0.239465
257, bandit, control, 0.404778, 16703, 0.240947
257, ab, test, 0.198010, 15479, 0.158812
257, bandit, test, 0.203254, 9097, 0.161960
258, ab, control, 0.397411, 10352, 0.239499
258, bandit, control, 0.404606, 16762, 0.240914
258, ab, test, 0.197775, 15548, 0.158670
258, bandit, test, 0.203327, 9138, 0.162003
259, ab, control, 0.397248, 10394, 0.239465
259, bandit, control, 0.404826, 16827, 0.240956
259, ab, test, 0.197616, 15606, 0.158574
259, bandit, test, 0.203205, 9173, 0.161930
260, ab, control, 0.396895, 10436, 0.239392
260, bandit, control, 0.404854, 16895, 0.240961
260, ab, test, 0.197523, 15664, 0.158518
260, bandit, test, 0.203150, 9205, 0.161898
261, ab, control, 0.396794, 10479, 0.239371
261, bandit, control, 0.404824, 16958, 0.240956
261, ab, test, 0.197761, 15721, 0.158662
261, bandit, test, 0.203095, 9242, 0.161865
262, ab, control, 0.396847, 10528, 0.239382
262, bandit, control, 0.405016, 17024, 0.240992
262, ab, test, 0.197882, 15772, 0.158735
262, bandit, test, 0.203105, 9276, 0.161871
263, ab, control, 0.396914, 10564, 0.239396
263, bandit, control, 0.404939, 17089, 0.240977
263, ab, test, 0.197840, 15836, 0.158710
263, bandit, test, 0.203308, 9311, 0.161991
264, ab, control, 0.397246, 10603, 0.239464
264, bandit, control, 0.405026, 17152, 0.240994
264, ab, test, 0.198088, 15897, 0.158859
264, bandit, test, 0.203252, 9348, 0.161958
265, ab, control, 0.397782, 10639, 0.239574
265, bandit, control, 0.404917, 17206, 0.240973
265, ab, test, 0.198296, 15961, 0.158985
265, bandit, test, 0.203641, 9394, 0.162188
266, ab, control, 0.397735, 10683, 0.239564
266, bandit, control, 0.404829, 17269, 0.240957
266, ab, test, 0.198477, 16017, 0.159094
266, bandit, test, 0.203372, 9431, 0.162029
267, ab, control, 0.397651, 10728, 0.239547
267, bandit, control, 0.404704, 17346, 0.240933
267, ab, test, 0.198233, 16072, 0.158947
267, bandit, test, 0.203194, 9454, 0.161924
268, ab, control, 0.397306, 10765, 0.239476
268, bandit, control, 0.404492, 17407, 0.240892
268, ab, test, 0.198079, 16135, 0.158853
268, bandit, test, 0.203940, 9493, 0.162365
269, ab, control, 0.397390, 10803, 0.239493
269, bandit, control, 0.404467, 17460, 0.240887
269, ab, test, 0.198061, 16197, 0.158843
269, bandit, test, 0.203983, 9540, 0.162391
270, ab, control, 0.397586, 10853, 0.239533
270, bandit, control, 0.404598, 17531, 0.240912
270, ab, test, 0.198067, 16247, 0.158846
270, bandit, test, 0.203470, 9569, 0.162087
271, ab, control, 0.398256, 10895, 0.239670
271, bandit, control, 0.404582, 17591, 0.240909
271, ab, test, 0.198344, 16305, 0.159013
271, bandit, test, 0.203975, 9609, 0.162386
272, ab, control, 0.398445, 10930, 0.239708
272, bandit, control, 0.404918, 17648, 0.240973
272, ab, test, 0.197984, 16370, 0.158796
272, bandit, test, 0.203585, 9652, 0.162155
273, ab, control, 0.398251, 10978, 0.239669
273, bandit, control, 0.404855, 17715, 0.240961
273, ab, test, 0.198149, 16422, 0.158896
273, bandit, test, 0.203201, 9685, 0.161927
274, ab, control, 0.398076, 11018, 0.239633
274, bandit, control, 0.404747, 17779, 0.240940
274, ab, test, 0.198156, 16482, 0.158900
274, bandit, test, 0.202654, 9721, 0.161602
275, ab, control, 0.397593, 11049, 0.239534
275, bandit, control, 0.404823, 17830, 0.240955
275, ab, test, 0.197994, 16551, 0.158802
275, bandit, test, 0.202661, 9770, 0.161606
276, ab, control, 0.397332, 11094, 0.239481
276, bandit, control, 0.404717, 17894, 0.240935
276, ab, test, 0.197941, 16606, 0.158770
276, bandit, test, 0.202427, 9806, 0.161467
277, ab, control, 0.397195, 11123, 0.239453
277, bandit, control, 0.404578, 17957, 0.240908
277, ab, test, 0.197937, 16677, 0.158768
277, bandit, test, 0.202276, 9843, 0.161377
278, ab, control, 0.397313, 11165, 0.239477
278, bandit, control, 0.405060, 18022, 0.241000
278, ab, test, 0.197789, 16735, 0.158678
278, bandit, test, 0.202065, 9878, 0.161251
279, ab, control, 0.397394, 11203, 0.239493
279, bandit, control, 0.404999, 18084, 0.240988
279, ab, test, 0.197773, 16797, 0.158669
279, bandit, test, 0.202299, 9916, 0.161391
280, ab, control, 0.397315, 11248, 0.239477
280, bandit, control, 0.404726, 18153, 0.240936
280, ab, test, 0.197959, 16852, 0.158780
280, bandit, test, 0.202373, 9947, 0.161434
281, ab, control, 0.397378, 11289, 0.239490
281, bandit, control, 0.404687, 18219, 0.240929
281, ab, test, 0.198096, 16911, 0.158863
281, bandit, test, 0.202485, 9981, 0.161501
282, ab, control, 0.397492, 11326, 0.239513
282, bandit, control, 0.404780, 18284, 0.240946
282, ab, test, 0.197891, 16974, 0.158739
282, bandit, test, 0.202276, 10016, 0.161377
283, ab, control, 0.397767, 11376, 0.239570
283, bandit, control, 0.404847, 18360, 0.240959
283, ab, test, 0.197780, 17024, 0.158672
283, bandit, test, 0.202191, 10040, 0.161326
284, ab, control, 0.397792, 11413, 0.239575
284, bandit, control, 0.404808, 18426, 0.240952
284, ab, test, 0.197694, 17087, 0.158620
284, bandit, test, 0.202104, 10074, 0.161274
285, ab, control, 0.397938, 11444, 0.239604
285, bandit, control, 0.404901, 18486, 0.240969
285, ab, test, 0.197482, 17156, 0.158492
285, bandit, test, 0.201997, 10114, 0.161210
286, ab, control, 0.398241, 11483, 0.239666
286, bandit, control, 0.405033, 18559, 0.240994
286, ab, test, 0.197421, 17217, 0.158455
286, bandit, test, 0.202051, 10141, 0.161242
287, ab, control, 0.398681, 11528, 0.239755
287, bandit, control, 0.405220, 18622, 0.241030
287, ab, test, 0.197198, 17272, 0.158320
287, bandit, test, 0.202004, 10178, 0.161214
288, ab, control, 0.398841, 11561, 0.239788
288, bandit, control, 0.405278, 18681, 0.241041
288, ab, test, 0.197186, 17339, 0.158313
288, bandit, test, 0.202075, 10219, 0.161256
289, ab, control, 0.398948, 11598, 0.239809
289, bandit, control, 0.405336, 18740, 0.241052
289, ab, test, 0.197161, 17402, 0.158298
289, bandit, test, 0.201559, 10260, 0.160949
290, ab, control, 0.398832, 11644, 0.239786
290, bandit, control, 0.405095, 18803, 0.241006
290, ab, test, 0.197525, 17456, 0.158518
290, bandit, test, 0.201418, 10297, 0.160864
291, ab, control, 0.399281, 11686, 0.239876
291, bandit, control, 0.405139, 18875, 0.241014
291, ab, test, 0.197728, 17514, 0.158640
291, bandit, test, 0.201259, 10325, 0.160769
292, ab, control, 0.399215, 11723, 0.239863
292, bandit, control, 0.405303, 18934, 0.241045
292, ab, test, 0.197702, 17577, 0.158625
292, bandit, test, 0.201524, 10366, 0.160928
293, ab, control, 0.399235, 11760, 0.239867
293, bandit, control, 0.405063, 19002, 0.241000
293, ab, test, 0.197449, 17640, 0.158472
