Batch, Algorithm, Group, Mean, Samples, Variance
30, bandit, control, 0.404739, 2068, 0.241042
30, ab, test, 0.200959, 1876, 0.160660
30, bandit, test, 0.179264, 1032, 0.147271
31, ab, control, 0.366587, 1263, 0.232385
31, bandit, control, 0.406382, 2131, 0.241349
31, ab, test, 0.200310, 1937, 0.160268
31, bandit, test, 0.180543, 1069, 0.148085
32, ab, control, 0.368502, 1308, 0.232886
32, bandit, control, 0.406434, 2207, 0.241355
32, ab, test, 0.198795, 1992, 0.159356
32, bandit, test, 0.186642, 1093, 0.151946
33, ab, control, 0.370178, 1348, 0.233319
33, bandit, control, 0.405382, 2267, 0.241154
33, ab, test, 0.199805, 2052, 0.159961
33, bandit, test, 0.188879, 1133, 0.153339
34, ab, control, 0.372648, 1382, 0.233951
34, bandit, control, 0.406290, 2321, 0.241322
34, ab, test, 0.198300, 2118, 0.159052
34, bandit, test, 0.188295, 1179, 0.152970
35, ab, control, 0.369198, 1422, 0.233055
35, bandit, control, 0.409795, 2389, 0.241964
35, ab, test, 0.195592, 2178, 0.157408
35, bandit, test, 0.190751, 1211, 0.154493
36, ab, control, 0.366485, 1468, 0.232332
36, bandit, control, 0.412124, 2458, 0.242376
36, ab, test, 0.195341, 2232, 0.157253
36, bandit, test, 0.191626, 1242, 0.155031
37, ab, control, 0.365870, 1506, 0.232163
37, bandit, control, 0.411741, 2521, 0.242307
37, ab, test, 0.195292, 2294, 0.157222
37, bandit, test, 0.189210, 1279, 0.153530
38, ab, control, 0.364637, 1544, 0.231827
38, bandit, control, 0.413220, 2587, 0.242563
38, ab, test, 0.196520, 2356, 0.157967
38, bandit, test, 0.187357, 1313, 0.152371
39, ab, control, 0.361059, 1587, 0.230841
39, bandit, control, 0.412429, 2655, 0.242423
39, ab, test, 0.196022, 2413, 0.157662
39, bandit, test, 0.188848, 1345, 0.153298
40, ab, control, 0.361231, 1625, 0.230885
40, bandit, control, 0.412804, 2718, 0.242486
40, ab, test, 0.194343, 2475, 0.156637
40, bandit, test, 0.188857, 1382, 0.153301
41, ab, control, 0.362110, 1668, 0.231125
41, bandit, control, 0.411259, 2789, 0.242212
41, ab, test, 0.194708, 2532, 0.156859
41, bandit, test, 0.187810, 1411, 0.152646
42, ab, control, 0.360867, 1707, 0.230777
42, bandit, control, 0.411415, 2856, 0.242237
42, ab, test, 0.194755, 2593, 0.156886
42, bandit, test, 0.189058, 1444, 0.153421
43, ab, control, 0.359357, 1742, 0.230352
43, bandit, control, 0.413840, 2919, 0.242660
43, ab, test, 0.196388, 2658, 0.157879
43, bandit, test, 0.188386, 1481, 0.153000
44, ab, control, 0.357824, 1783, 0.229915
44, bandit, control, 0.411174, 2989, 0.242191
44, ab, test, 0.198013, 2717, 0.158862
44, bandit, test, 0.190602, 1511, 0.154375
45, ab, control, 0.358594, 1821, 0.230131
45, bandit, control, 0.412361, 3058, 0.242399
45, ab, test, 0.196474, 2779, 0.157929
45, bandit, test, 0.189364, 1542, 0.153605
46, ab, control, 0.359400, 1867, 0.230355
46, bandit, control, 0.415149, 3129, 0.242878
46, ab, test, 0.195905, 2833, 0.157582
46, bandit, test, 0.189688, 1571, 0.153804
47, ab, control, 0.363208, 1908, 0.231409
47, bandit, control, 0.414864, 3189, 0.242828
47, ab, test, 0.196750, 2892, 0.158094
47, bandit, test, 0.189944, 1611, 0.153961
48, ab, control, 0.362700, 1941, 0.231268
48, bandit, control, 0.413666, 3249, 0.242621
48, ab, test, 0.196688, 2959, 0.158055
48, bandit, test, 0.190188, 1651, 0.154110
49, ab, control, 0.362260, 1982, 0.231144
49, bandit, control, 0.415436, 3317, 0.242922
49, ab, test, 0.197813, 3018, 0.158736
49, bandit, test, 0.189542, 1683, 0.153707
50, ab, control, 0.360713, 2021, 0.230713
50, bandit, control, 0.417111, 3378, 0.243201
50, ab, test, 0.198766, 3079, 0.159310
50, bandit, test, 0.188734, 1722, 0.153202
51, ab, control, 0.360895, 2056, 0.230762
51, bandit, control, 0.420029, 3445, 0.243675
51, ab, test, 0.198791, 3144, 0.159324
51, bandit, test, 0.189174, 1755, 0.153475
52, ab, control, 0.361417, 2089, 0.230905
52, bandit, control, 0.420034, 3514, 0.243675
52, ab, test, 0.198692, 3211, 0.159263
52, bandit, test, 0.188130, 1786, 0.152823
53, ab, control, 0.361923, 2122, 0.231044
53, bandit, control, 0.419743, 3576, 0.243627
53, ab, test, 0.198292, 3278, 0.159021
53, bandit, test, 0.188596, 1824, 0.153112
54, ab, control, 0.362245, 2156, 0.231131
54, bandit, control, 0.418566, 3641, 0.243435
54, ab, test, 0.199462, 3344, 0.159725
54, bandit, test, 0.189349, 1859, 0.153579
55, ab, control, 0.361654, 2201, 0.230965
55, bandit, control, 0.418799, 3713, 0.243472
55, ab, test, 0.199470, 3399, 0.159729
55, bandit, test, 0.188129, 1887, 0.152818
56, ab, control, 0.363271, 2238, 0.231409
56, bandit, control, 0.418937, 3781, 0.243493
56, ab, test, 0.200173, 3462, 0.160150
56, bandit, test, 0.187598, 1919, 0.152484
57, ab, control, 0.360511, 2269, 0.230645
57, bandit, control, 0.420218, 3848, 0.243698
57, ab, test, 0.199943, 3531, 0.160011
57, bandit, test, 0.186475, 1952, 0.151780
58, ab, control, 0.361665, 2306, 0.230964
58, bandit, control, 0.418670, 3910, 0.243448
58, ab, test, 0.199777, 3594, 0.159911
58, bandit, test, 0.185930, 1990, 0.151436
59, ab, control, 0.360838, 2339, 0.230733
59, bandit, control, 0.418810, 3966, 0.243470
59, ab, test, 0.199672, 3661, 0.159847
59, bandit, test, 0.185841, 2034, 0.151378
60, ab, control, 0.360738, 2384, 0.230703
60, bandit, control, 0.419371, 4037, 0.243559
60, ab, test, 0.199677, 3716, 0.159849
60, bandit, test, 0.183713, 2063, 0.150035
61, ab, control, 0.364312, 2421, 0.231685
61, bandit, control, 0.418860, 4104, 0.243476
61, ab, test, 0.198465, 3779, 0.159119
61, bandit, test, 0.184637, 2096, 0.150618
62, ab, control, 0.365369, 2466, 0.231969
62, bandit, control, 0.417366, 4169, 0.243230
62, ab, test, 0.198487, 3834, 0.159132
62, bandit, test, 0.185359, 2131, 0.151072
63, ab, control, 0.365669, 2505, 0.232048
63, bandit, control, 0.416214, 4231, 0.243037
63, ab, test, 0.198460, 3895, 0.159114
63, bandit, test, 0.188105, 2169, 0.152792
64, ab, control, 0.365892, 2539, 0.232106
64, bandit, control, 0.416007, 4298, 0.243002
64, ab, test, 0.198687, 3961, 0.159251
